ID,label,sex,age,edu_lv,credit_rec,inc,loan_suc,repay_suc,repay_time,dlqin0,loan_position,remen_mun,max_loan,max_debt
7063,0,1,24,1,2,2,2,12,6,6,4360,0,3300,3554.08
7064,0,1,28,1,0,3,2,10,10,0,2000,0,1000,1359.64
7065,0,1,47,1,2,3,1,1,0,1,1000,0,1000,1176.59
7066,0,1,29,1,2,3,1,3,2,1,2100,0,2100,2855.46
7067,0,1,29,2,2,2,3,17,17,0,3836,0,2100,2855.22
7068,0,1,21,1,2,2,1,2,2,0,950,345.15,950,1035.45
7069,0,0,31,1,2,4,24,153,152,1,70987,10220.73,10000,28426.01
7070,0,1,40,1,2,3,10,81,79,2,48999,16317.25,10000,23321.48
7071,0,1,24,1,2,2,26,110,110,0,47924,9049.94,4259,16403.71
7072,0,1,26,1,2,3,5,23,23,0,5000,0,1000,1359.56
7073,0,0,32,1,2,3,1,3,0,3,5000,5099.85,5000,6826.42
7074,0,1,53,1,2,5,1,6,6,0,6000,0,6000,6461.22
7075,0,1,39,1,2,3,0,0,0,0,0,0,0,0
7076,0,1,41,1,2,3,12,85,83,2,23958,5224.06,5845,9156.25
7077,0,1,25,1,2,3,3,14,13,1,8036,4179.9,5000,6798.32
7078,0,1,20,1,2,2,1,3,3,0,1000,928.17,1000,1237.56
7079,0,1,26,1,2,3,1,2,2,0,3000,0,3000,3396.96
7080,1,1,35,1,2,2,2,7,3,2,5100,0,3000,3581.22
7081,0,1,20,1,2,3,9,49,49,0,13820,6039.03,3948,7534.08
7082,0,1,30,1,0,3,7,42,42,0,19619.78,3851.75,6437,11306.08
7083,0,1,18,1,2,3,1,3,3,0,500,0,500,679.8
7084,0,0,44,1,2,3,16,107,84,22,61034,10428.03,10000,20857.5
7085,0,1,22,1,2,2,4,16,9,7,6777,1379.95,3000,3775.34
7086,0,1,28,1,2,3,0,0,0,0,0,0,0,0
7087,0,0,31,1,2,5,16,103,100,2,49667,14255.49,10000,19841.34
7088,0,1,29,1,2,4,8,58,57,1,33555,7375.19,13000,14675.65
7089,0,1,18,1,2,2,0,0,0,0,0,0,0,0
7090,0,1,24,1,0,5,1,12,12,0,4000,0,4000,4616.64
7091,0,0,24,1,0,3,1,3,3,0,5800,5278.14,5800,7648.83
7092,0,0,34,1,2,2,1,12,2,10,2400,0,2400,2822.76
7093,0,1,24,1,2,2,3,26,26,0,11543,0,9500,11112
7094,0,1,41,1,2,5,7,42,42,0,22375,0,4790,8404.04
